# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
30000	-5603553.142295963	-72.35058882125679	-5603480.791707142	266.09257416382655	1756.4074258361734	864.8600638529078	153.62921484470834	6.7063122270430835	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.4819992557565595	2.0188084932271134E-7	2.018808493227113E-7	0.0	-5603480.791707142	0.0	-68.98472143532919
31000	-5603551.739675717	-75.34627284585473	-5603476.393402872	311.52183920632035	1710.9781607936798	1062.5698564584925	119.53219370651075	6.239302774012275	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.7043942996949148	1.702671541265733E-7	1.7026715412657333E-7	0.0	-5603476.393402872	0.0	-72.12073535473556
32000	-5603541.5231013885	-64.8156391361657	-5603476.707462252	157.28889513037825	1865.2111048696217	503.4145484116161	79.93055157702959	5.243130866961409	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.6040398438832527	3.171986516683103E-7	3.1719865166831025E-7	0.0	-5603476.707462252	0.0	-61.80462863376938
33000	-5603539.2136511775	-64.55681949057066	-5603474.656831687	140.40119046924335	1882.0988095307566	453.188144160306	59.25050713958472	5.777077729020818	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	1.2294319695954385	3.835425938139253E-7	3.8354259381392543E-7	0.0	-5603474.656831687	0.0	-60.32649904637772
34000	-5603535.6970543545	-62.296652573651784	-5603473.40040178	126.16579585835154	1896.3342041416486	402.5991577060187	46.66387269266967	6.90484618119306	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.8849196241467853	4.224106355555177E-7	4.2241063555551773E-7	0.0	-5603473.40040178	0.0	-58.62452322927881
35000	-5603543.67442003	-68.50731414260503	-5603475.167105887	193.2823493430228	1829.2176506569772	631.3205023600248	117.39249679617453	6.794678256189793	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.40595765687853524	2.7528307680233454E-7	2.7528307680233454E-7	0.0	-5603475.167105887	0.0	-65.26536831269459
36000	-5603546.853578828	-69.27905647771155	-5603477.574522351	226.60434378679736	1795.8956562132025	751.69986569048	106.34955702629003	5.362753874453254	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.2431270895874362	2.2577292682644702E-7	2.25772926826447E-7	0.0	-5603477.574522351	0.0	-67.01640959949646
37000	-5603536.357301005	-65.25249075754182	-5603471.104810247	162.36315625831693	1860.1368437416832	540.7404258428663	79.55894816025635	6.008409447291599	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.21137897445349918	3.117442794627003E-7	3.117442794627003E-7	0.0	-5603471.104810247	0.0	-62.8767945297877
38000	-5603548.10606002	-68.62948272025251	-5603479.4765773	199.5181029001238	1822.9818970998763	666.6112771244442	104.41344275124098	5.400555398949273	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.3292054148848125	2.4191662521022646E-7	2.419166252102264E-7	0.0	-5603479.4765773	0.0	-66.11028707226993
39000	-5603529.3630649755	-59.80173674410432	-5603469.561328231	109.86932276446325	1912.6306772355367	352.880175058587	36.13901828479052	6.327153635994057	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.48186742059885407	4.667573078872825E-7	4.667573078872824E-7	0.0	-5603469.561328231	0.0	-57.22282026919792
