# BEAST v10.5.0
# Generated Wed Aug 19 09:03:02 EEST 2026 [seed=1787118699297]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMEA7472536_ERR4920658)	age(SAMEA6797401_ERR4056630)	age(SAMEA6797389_ERR4056585)	age(SAMEA6647237_ERR4028006)	treeLikelihood	branchRates	coalescent
33000	-8995947.165874766	-332.4550103298283	-8995614.710864436	58.178170029314984	1965.476624491233	963.0555727378267	215.4094857306217	5.091918074118516	0.15581156692007764	0.3517397362730243	0.3327866499475032	0.15966204685939475	0.016347149548098076	1.443789120255703E-4	1.4437891202557032E-4	7.151828795478383	8.652151041378417	7.790847841525525	8.64712049153359	-8995614.710864436	0.0	-326.659937916688
34000	-8995180.194358723	-333.01032468794955	-8994847.184034035	59.331469549437415	1964.3233249711107	977.8648125760113	210.5022006605119	5.091918074118516	0.15581156692007764	0.3517397362730243	0.3327866499475032	0.15966204685939475	0.009550462896996448	1.3980026918738797E-4	1.398002691873881E-4	6.920909289675285	8.652151041378417	8.610247178614832	8.64712049153359	-8994847.184034035	0.0	-327.28285710218006
35000	-8993787.53872685	-334.36303387515295	-8993453.175692974	60.497420984888045	1963.1573735356599	1004.0821472222154	188.58340028911908	5.091918074118516	0.15581156692007764	0.3517397362730243	0.3327866499475032	0.15966204685939475	0.005792011726790371	1.3897843732060396E-4	1.389784373206039E-4	6.655626221028841	8.652151041378417	7.903559941281889	8.64712049153359	-8993453.175692974	0.0	-328.78818461233607
36000	-8992788.311953822	-336.88295208053546	-8992451.429001741	62.42493326764237	1961.2298612529055	1031.6395213168498	250.95240403293178	5.091918074118516	0.15585999990970162	0.3517397362730243	0.33244640636833095	0.159953857448943	0.0032406928156971946	1.330844495935589E-4	1.3308444959355884E-4	6.715549657617123	8.652151041378417	8.306977820410419	8.64712049153359	-8992451.429001741	0.0	-331.00285500721964
37000	-8991868.296447722	-337.29610177875827	-8991531.000345943	63.48048982410929	1960.1743046964386	1058.0441971596063	217.26568485539872	5.0903984893037	0.15585999990970162	0.3517397362730243	0.33244640636833095	0.159953857448943	0.004589872649640551	1.329690463688438E-4	1.3296904636884375E-4	6.818994250922861	8.652151041378417	8.288405998230708	8.64712049153359	-8991531.000345943	0.0	-331.60108781392944
38000	-8989236.197127556	-339.4187738882082	-8988896.778353669	64.11561698382158	1959.5391775367264	1077.9236581057498	262.8842869829935	5.0903984893037	0.15585999990970162	0.3517397362730243	0.33244640636833095	0.159953857448943	0.009747399194211491	1.275823829892011E-4	1.2758238298920103E-4	6.483612452839292	8.652151041378417	8.288405998230708	8.64712049153359	-8988896.778353669	0.0	-333.5105712245437
39000	-8988452.124686027	-340.10852329761946	-8988112.016162729	65.21570328621506	1958.4390912343329	1101.3004628752403	202.92908194046873	5.0903984893037	0.15585999990970162	0.3517397362730243	0.3325758519624008	0.15982441185487312	0.01848143047492322	1.2571698307854844E-4	1.257169830785485E-4	6.592951686898882	8.652151041378417	8.608185096164718	8.64712049153359	-8988112.016162729	0.0	-334.5185702858874
40000	-8987577.6503373	-342.08806895927347	-8987235.562268341	66.8959963680716	1956.7587981524764	1129.309969300761	192.61387126622176	5.0903984893037	0.15585999990970162	0.3517397362730243	0.3325758519624008	0.15982441185487312	0.01874582414948101	1.2127093496579334E-4	1.2127093496579331E-4	6.734619837469891	8.652151041378417	8.640033668450513	8.64712049153359	-8987235.562268341	0.0	-336.5920795072776
41000	-8986641.083553525	-343.3278797568978	-8986297.755673768	68.73684920833341	1954.9179453122147	1159.9156751484752	271.37454739952125	5.0903984893037	0.15585999990970162	0.3517397362730243	0.3325758519624008	0.15982441185487312	0.016875750890825617	1.1700791367850797E-4	1.1700791367850795E-4	7.1182901649668295	8.652151041378417	8.574037298922516	8.64712049153359	-8986297.755673768	0.0	-337.4468963642243
42000	-8985972.216824047	-344.2926706442817	-8985627.924153402	70.11719806205744	1953.5375964584905	1188.5962994721783	255.90386210263108	5.092488103462754	0.15585999990970162	0.35155903946749567	0.3327565487679294	0.15982441185487312	0.011562412984284957	1.1528242419096099E-4	1.1528242419096099E-4	6.942558814646315	8.652151041378417	8.643786227528235	8.64712049153359	-8985627.924153402	0.0	-338.51418498999766
43000	-8985511.266053047	-345.1061008158842	-8985166.15995223	70.79820981367108	1952.856584706877	1204.7082270126207	234.62214698165184	5.092488103462754	0.15585999990970162	0.35155903946749567	0.3327565487679294	0.15982441185487312	0.02258274219322808	1.1528242419096099E-4	1.1528242419096099E-4	7.144312017456427	8.652151041378417	8.643786227528235	8.64712049153359	-8985166.15995223	0.0	-339.41846965698244
44000	-8984884.381154902	-346.92129616207524	-8984537.45985874	72.27452641190864	1951.3802681086393	1229.4773025126558	297.1539428488833	5.092488103462754	0.15585999990970162	0.35155903946749567	0.3327565487679294	0.15982441185487312	0.010878059839505645	1.123844523831546E-4	1.1238445238315458E-4	6.726206415448823	8.652151041378417	8.647312989432614	8.64712049153359	-8984537.45985874	0.0	-340.9821179496613
45000	-8984266.508741057	-347.26800812713094	-8983919.240732929	74.05319969609987	1949.601594824448	1255.3423838927558	252.21427559799642	5.092488103462754	0.15585999990970162	0.35155903946749567	0.3327565487679294	0.15982441185487312	0.01014161426434674	1.1021352226579108E-4	1.1021352226579098E-4	6.6525060284481485	8.652151041378417	8.647312989432614	8.652675226856761	-8983919.240732929	0.0	-341.5590308525968
46000	-8983876.649759103	-348.30448812544165	-8983528.345270976	74.64452159118161	1949.0102729293662	1274.2206514584946	262.67802070692056	5.101383534522719	0.1557967840885064	0.3516222552886909	0.3327565487679294	0.15982441185487312	0.013859834802805775	1.1021352226579108E-4	1.1021352226579101E-4	6.939733619166303	8.652151041378417	8.647312989432614	8.652675226856761	-8983528.345270976	0.0	-342.5399364511646
47000	-8983340.826136764	-350.35001234332873	-8982990.47612442	75.40793404091112	1948.2468604796368	1298.7941376012554	219.3419019968215	5.096040153254904	0.15594833560565272	0.3516222552886909	0.33254844390081545	0.1598809652048408	0.021234652504824966	1.077078161523162E-4	1.0770781615231617E-4	6.2772971133675695	8.652151041378417	8.275028521464606	8.652675226856761	-8982990.47612442	0.0	-344.8172295696756
48000	-8982552.366503412	-351.24257922379684	-8982201.123924188	77.38687339972503	1946.2679211208228	1335.3099152385867	248.37462743788393	5.096040153254904	0.15594833560565272	0.35180757510305416	0.33254844390081545	0.15969564539047754	0.02001638493043252	1.0280613435867552E-4	1.0280613435867548E-4	6.934250092640012	8.652151041378417	8.209648446845783	8.652675226856761	-8982201.123924188	0.0	-345.5987824511241
49000	-8982007.521783791	-352.46514253649536	-8981655.056641255	79.52550679627225	1944.1292877242756	1366.2552043034566	251.69658148390252	5.096525223093591	0.15594833560565272	0.35180757510305416	0.33254844390081545	0.15969564539047754	0.01536814594878238	1.0280613435867552E-4	1.028061343586755E-4	6.826252543102614	8.652151041378417	8.351690533213496	8.652675226856761	-8981655.056641255	0.0	-346.8221877006604
50000	-8981588.688182829	-352.73175789750843	-8981235.956424931	80.30548143880925	1943.3493130817387	1381.2710025008603	274.44780896101736	5.096525223093591	0.15559442931756404	0.35216148139114284	0.33254844390081545	0.15969564539047754	0.013365316730869214	9.980252746041723E-5	9.98025274604172E-5	6.755481630059122	8.652151041378417	8.59627966539763	8.652675226856761	-8981235.956424931	0.0	-347.0065033359495
51000	-8981204.186529718	-353.5959985780908	-8980850.59053114	81.98372093468211	1941.6710735858658	1405.1659388842238	286.39998518463216	5.097544894908613	0.15559442931756404	0.35216148139114284	0.33254844390081545	0.15969564539047754	0.007233530188699967	9.723210418203874E-5	9.723210418203865E-5	6.101376229511035	8.652151041378417	8.59627966539763	8.652675226856761	-8980850.59053114	0.0	-347.8510382606567
52000	-8980803.111224594	-354.80630539926165	-8980448.304919194	82.88677573003251	1940.7680187905155	1428.0652639105908	316.35229177991044	5.097544894908613	0.15559442931756404	0.35227172396873513	0.33254844390081545	0.15958540281288525	0.002958100889503815	9.723210418203874E-5	9.723210418203872E-5	6.6236247397268215	8.652151041378417	8.602620689415932	8.652675226856761	-8980448.304919194	0.0	-348.9464320767329
53000	-8980280.590297516	-355.8542732774547	-8979924.736024238	84.38201699810087	1939.272777522447	1459.4647429133872	299.3150701003648	5.097544894908613	0.15588306358103662	0.35227172396873513	0.33225980963734286	0.15958540281288525	0.005001160844440968	9.406772401753963E-5	9.40677240175396E-5	6.914954570061684	8.652151041378417	8.602620689415932	8.652675226856761	-8979924.736024238	0.0	-350.09163820811006
54000	-8979844.58862265	-357.7667078327263	-8979486.821914818	85.68031270208512	1937.974481818463	1487.1000385107307	366.76312065729036	5.097544894908613	0.15588306358103662	0.35227172396873513	0.33225980963734286	0.15958540281288525	0.0029722996664577517	9.243945098224191E-5	9.243945098224184E-5	6.263813467860326	8.652151041378417	8.602620689415932	8.652675226856761	-8979486.821914818	0.0	-351.75559770875935
55000	-8979407.85325171	-358.5839406537889	-8979049.269311057	87.80840761050298	1935.8463869100449	1517.2156819865918	368.2849131940882	5.097544894908613	0.15604956125906339	0.3521052262907084	0.33239558663584645	0.15944962581438168	0.005498775814519694	9.180463605122602E-5	9.180463605122602E-5	6.585694762214796	8.652151041378417	8.650752215840363	8.652675226856761	-8979049.269311057	0.0	-352.57376852314695
56000	-8978947.645400515	-360.0153723711256	-8978587.630028144	89.6151576793625	1934.0396368411855	1548.5409080222628	265.81770445842506	5.097544894908613	0.15604956125906339	0.3521052262907084	0.33239558663584645	0.15944962581438168	0.009161974412689438	8.947288899681322E-5	8.947288899681319E-5	5.993154195091936	8.652151041378417	8.650752215840363	8.652675226856761	-8978587.630028144	0.0	-354.4498778205593
57000	-8978622.782693224	-361.2671890698454	-8978261.515504153	90.29352818792417	1933.3612663326237	1567.5796207569279	412.3517261835022	5.102175704692819	0.15604956125906339	0.3513419388608819	0.33278133394372017	0.15982716593633448	0.004014783318522509	8.77638081516828E-5	8.776380815168286E-5	6.694445545206452	8.652151041378417	8.650752215840363	8.652675226856761	-8978261.515504153	0.0	-355.1422830463718
58000	-8978307.57368166	-363.6993569053949	-8977943.874324754	90.8602656239394	1932.7945288966087	1590.419070729596	470.7724016709379	5.102175704692819	0.15575212647771583	0.3513419388608819	0.33307876872506775	0.15982716593633448	0.006904428806681584	8.685850632760018E-5	8.68585063276002E-5	6.242616514321501	8.652151041378417	8.650752215840363	8.652675226856761	-8977943.874324754	0.0	-357.3897374506878
59000	-8978041.032622518	-361.58815508686826	-8977679.444467431	92.73447341136755	1930.9203211091803	1616.3205974831455	346.86282186407465	5.102175704692819	0.15566073530137867	0.35157739685159917	0.3328433107343505	0.15991855711267164	0.0032111942888762963	8.544325825156742E-5	8.544325825156746E-5	6.2056162454406705	8.652151041378417	8.650752215840363	8.652675226856761	-8977679.444467431	0.0	-355.73130069173885
60000	-8977742.831054496	-363.3271910388644	-8977379.503863458	93.66541063237746	1929.9893838881706	1639.5928364947674	285.53739350469425	5.102175704692819	0.15566073530137867	0.35157739685159917	0.3328433107343505	0.15991855711267164	0.0038091726800710242	8.311347985945983E-5	8.311347985945984E-5	6.223864183718224	8.652151041378417	8.650752215840363	8.652675226856761	-8977379.503863458	0.0	-357.7476299801261
